metric,group1,group2,mean_group1,mean_group2,KS_stat,p_value
ai4amp_score,Test,Mutant,0.4607459668421053,0.459993886,0.47017543859649125,0.03343108181117307
ai4amp_score,Test,Generated,0.4607459668421053,0.4570356710076531,0.8730531686358755,8.208030086320686e-17
ai4amp_score,Mutant,Generated,0.459993886,0.4570356710076531,0.8954081632653061,1.3381949569441377e-14
ai4amp_score,BaseProGen2,Generated,0.4580838181818182,0.4570356710076531,0.3692022263450835,0.07816847951802562
pLDDT_mean,Test,Mutant,0.7104669150553251,0.6475888987382253,0.3894736842105263,0.11951954525583508
pLDDT_mean,Test,Generated,0.7104669150553251,0.5624222811691615,0.6909237379162191,2.548496783607518e-09
pLDDT_mean,Mutant,Generated,0.6475888987382253,0.5624222811691615,0.4651360544217687,0.0019545025142831845
pLDDT_mean,BaseProGen2,Generated,0.5563479309732263,0.5624222811691615,0.19005102040816327,0.7616374888071249
PAE_mean,Test,Mutant,4.963478540119372,7.549856662750244,0.45614035087719296,0.04295943713497744
PAE_mean,Test,Generated,4.963478540119372,11.583351748634358,0.7014634801288937,1.205426538479386e-09
PAE_mean,Mutant,Generated,7.549856662750244,11.583351748634358,0.42151360544217686,0.00693856716349009
PAE_mean,BaseProGen2,Generated,12.163880001414906,11.583351748634358,0.24872448979591838,0.44141743738819467
